link,number,comments,bName,salesRep,dealStatus
https://koheso.business.site/,+6012-3881163,No Comments,Koheso (M) Sdn Bhd,N/A,0
http://www.team.org.my/,+603-92847445,No Comments,Timber Exporters' Association Of Malaysia (Team),N/A,0
http://www.khaishen.com/,+603-61206171,No Comments,Khaishen Trading Sdn Bhd,N/A,0
http://www.sslmach.com/,+605-3575999,No Comments,SSL Heavy Machinery Sdn Bhd www.sslmach.com 顺成利重型机械有限公司,N/A,0
n/a,+603-61377113,No Comments,Jia Long Import & Export Sdn. Bhd.,N/A,0
n/a,+603-79587426,No Comments,Brazen Composites Malaysia Sdn. Bhd. (710810-M),N/A,0
https://www.marubeni.com/en/,+603-20781688,No Comments,Marubeni Malaysia Sdn Bhd,N/A,0
n/a,+6012-2167451,No Comments,Lavanya Palm Oil Export ( Malaysia ),N/A,0
http://www.dpointernational.com/,+603-41081282,No Comments,DPO International,N/A,0
n/a,+603-80644168,No Comments,Turbigom Malaysia Sdn Bhd,N/A,0
https://hny-bundle.business.site/?utm_source=gmb&utm_medium=referral,+6018-2100474,No Comments,HNY Bundle Sdn Bhd,N/A,0
http://zantat.com.my/,+605-3571853,No Comments,Zantat Sdn Bhd,N/A,0
n/a,+603-78903950,No Comments,NCT Malaysia Sdn Bhd,N/A,0
n/a,"menundergarment""",No Comments,Nyok Lan Garments Sdn Bhd,N/A,0
n/a,+603-42519170,No Comments,Avas Malaysia Sdn. Bhd.,N/A,0
http://www.dspventures.info/,+6012-5142282,No Comments,DSP VENTURES MALAYSIA,N/A,0
n/a,+6012-5455661,No Comments,THANGAMAYIL TRADING SDN BHD,N/A,0
http://www.matrade.gov.my/,+603-62077077,No Comments,Malaysia External Trade Development Corporation (MATRADE),N/A,0
n/a,+6013-3999875,No Comments,Harahap Import & Export(HQ),N/A,0
n/a,+603-87360867,No Comments,Seng Chew Hup Kee (Malaysia) Sdn. Bhd. (Mr Wong Kok),N/A,0
